ROWID,Country,SourceYear,Crop name,Area,Production,Yield,Percentage of area under irrigation ( % ),Comments,YearCode,Year
254,India,1999-00,Lentil (Masur),1460.00,1080.00,738.00,,,1999,"Financial Year (Apr - Mar), 1999"
255,India,1987-88,Cotton,6460.00,1084.60,168.00,32.04,,1987,"Financial Year (Apr - Mar), 1987"
256,India,1983-84,Cotton,7720.00,1086.30,141.00,29.93,,1983,"Financial Year (Apr - Mar), 1983"
257,India,2001-02,Guarseed,2903.10,1089.90,375.00,,,2001,"Financial Year (Apr - Mar), 2001"
258,India,1972-73,Jute and Mesta,990.00,1096.20,1104.00,,,1972,"Financial Year (Apr - Mar), 1972"
259,India,2019-20,Lentil (Masur),1300.00,1100.00,847.00,,,2019,"Financial Year (Apr - Mar), 2019"
260,India,1970-71,Jute and Mesta,1080.00,1114.20,1032.00,,,1970,"Financial Year (Apr - Mar), 1970"
261,India,1966-67,Tur (Arhar),2520.00,1130.00,448.00,0.69,,1966,"Financial Year (Apr - Mar), 1966"
262,India,2012-13,Lentil (Masur),1420.00,1130.00,797.00,,,2012,"Financial Year (Apr - Mar), 2012"
263,India,2008-09,Sunflower,1810.00,1160.00,639.00,,,2008,"Financial Year (Apr - Mar), 2008"
264,India,2006-07,Guarseed,3343.70,1169.30,350.00,,,2006,"Financial Year (Apr - Mar), 2006"
265,India,1986-87,Cotton,6950.00,1174.70,169.00,31.11,,1986,"Financial Year (Apr - Mar), 1986"
266,India,1992-93,Sunflower,2090.00,1180.00,567.00,,,1992,"Financial Year (Apr - Mar), 1992"
267,India,1971-72,Cotton,7800.00,1181.50,151.00,20.29,,1971,"Financial Year (Apr - Mar), 1971"
268,India,1966-67,Jute and Mesta,1120.00,1184.40,1058.00,,,1966,"Financial Year (Apr - Mar), 1966"
269,India,1991-92,Sunflower,2110.00,1190.00,565.00,,,1991,"Financial Year (Apr - Mar), 1991"
270,India,2004-05,Sunflower,2160.00,1190.00,549.00,,,2004,"Financial Year (Apr - Mar), 2004"
271,India,1980-81,Cotton,7820.00,1191.70,152.00,27.28,,1980,"Financial Year (Apr - Mar), 1980"
272,India,1974-75,Cotton,7560.00,1217.20,161.00,22.92,,1974,"Financial Year (Apr - Mar), 1974"
273,India,1994-95,Sunflower,2000.00,1220.00,610.00,,,1994,"Financial Year (Apr - Mar), 1994"
274,India,2016-17,Lentil (Masur),1460.00,1220.00,838.00,,,2016,"Financial Year (Apr - Mar), 2016"
275,India,1987-88,Jute and Mesta,960.00,1220.40,1274.00,,,1987,"Financial Year (Apr - Mar), 1987"
276,India,1969-70,Jute and Mesta,1090.00,1222.20,1120.00,,,1969,"Financial Year (Apr - Mar), 1969"
277,India,1966-67,Rapeseed & Mustard,3010.00,1230.00,408.00,20.28,,1966,"Financial Year (Apr - Mar), 1966"
278,India,2006-07,Sunflower,2160.00,1230.00,567.00,,,2006,"Financial Year (Apr - Mar), 2006"
279,India,2018-19,Lentil (Masur),1360.00,1230.00,901.00,,,2018,"Financial Year (Apr - Mar), 2018"
280,India,1977-78,Cotton,7870.00,1230.80,157.00,26.19,,1977,"Financial Year (Apr - Mar), 1977"
281,India,1971-72,Jute and Mesta,1110.00,1231.20,1107.00,,,1971,"Financial Year (Apr - Mar), 1971"
282,India,1958-59,Jute and Mesta,1100.00,1243.80,1130.00,,,1958,"Financial Year (Apr - Mar), 1958"
283,India,1996-97,Sunflower,1930.00,1250.00,646.00,,,1996,"Financial Year (Apr - Mar), 1996"
284,India,1995-96,Sunflower,2120.00,1260.00,593.00,,,1995,"Financial Year (Apr - Mar), 1995"
285,India,1976-77,Jute and Mesta,1090.00,1278.00,1173.00,,,1976,"Financial Year (Apr - Mar), 1976"
286,India,1982-83,Cotton,7870.00,1280.10,163.00,29.01,,1982,"Financial Year (Apr - Mar), 1982"
287,India,1977-78,Jute and Mesta,1160.00,1287.00,1108.00,,,1977,"Financial Year (Apr - Mar), 1977"
288,India,1982-83,Jute and Mesta,1020.00,1290.60,1265.00,,,1982,"Financial Year (Apr - Mar), 1982"
289,India,1962-63,Jute and Mesta,1240.00,1294.20,1041.00,,,1962,"Financial Year (Apr - Mar), 1962"
290,India,1962-63,Rapeseed & Mustard,3130.00,1300.00,417.00,13.33,,1962,"Financial Year (Apr - Mar), 1962"
291,India,1965-66,Rapeseed & Mustard,2910.00,1300.00,446.00,15.78,,1965,"Financial Year (Apr - Mar), 1965"
292,India,1979-80,Cotton,8130.00,1300.50,160.00,27.55,,1979,"Financial Year (Apr - Mar), 1979"
293,India,2018-19,Guarseed,3469.10,1312.10,378.00,,,2018,"Financial Year (Apr - Mar), 2018"
294,India,1981-82,Cotton,8060.00,1339.60,166.00,27.67,,1981,"Financial Year (Apr - Mar), 1981"
295,India,1960-61,Rapeseed & Mustard,2880.00,1350.00,467.00,12.05,,1960,"Financial Year (Apr - Mar), 1960"
296,India,1961-62,Rapeseed & Mustard,3170.00,1350.00,425.00,13.18,,1961,"Financial Year (Apr - Mar), 1961"
297,India,1968-69,Rapeseed & Mustard,2870.00,1350.00,469.00,18.41,,1968,"Financial Year (Apr - Mar), 1968"
298,India,1993-94,Sunflower,2670.00,1350.00,505.00,,,1993,"Financial Year (Apr - Mar), 1993"
299,India,1978-79,Cotton,8120.00,1353.20,167.00,27.19,,1978,"Financial Year (Apr - Mar), 1978"
300,India,1967-68,Jute and Mesta,1200.00,1366.20,1137.00,,,1967,"Financial Year (Apr - Mar), 1967"
301,India,1961-62,Tur (Arhar),2450.00,1370.00,559.00,0.49,,1961,"Financial Year (Apr - Mar), 1961"
302,India,1964-65,Jute and Mesta,1210.00,1378.80,1136.00,,,1964,"Financial Year (Apr - Mar), 1964"
303,India,1963-64,Tur (Arhar),2520.00,1380.00,549.00,0.40,,1963,"Financial Year (Apr - Mar), 1963"
304,India,1973-74,Jute and Mesta,1160.00,1382.40,1188.00,,,1973,"Financial Year (Apr - Mar), 1973"
305,India,1983-84,Jute and Mesta,1050.00,1389.60,1320.00,,,1983,"Financial Year (Apr - Mar), 1983"
306,India,1984-85,Jute and Mesta,1130.00,1402.20,1242.00,,,1984,"Financial Year (Apr - Mar), 1984"
307,India,1973-74,Tur (Arhar),2650.00,1410.00,532.00,0.38,,1973,"Financial Year (Apr - Mar), 1973"
308,India,1988-89,Jute and Mesta,920.00,1414.80,1540.00,,,1988,"Financial Year (Apr - Mar), 1988"
309,India,1971-72,Rapeseed & Mustard,3610.00,1430.00,396.00,28.59,,1971,"Financial Year (Apr - Mar), 1971"
310,India,1979-80,Rapeseed & Mustard,3470.00,1430.00,411.00,41.94,,1979,"Financial Year (Apr - Mar), 1979"
311,India,1979-80,Jute and Mesta,1220.00,1432.80,1177.00,,,1979,"Financial Year (Apr - Mar), 1979"
312,India,1963-64,Jute and Mesta,1270.00,1436.40,1130.00,,,1963,"Financial Year (Apr - Mar), 1963"
313,India,2005-06,Sunflower,2340.00,1440.00,615.00,,,2005,"Financial Year (Apr - Mar), 2005"
314,India,1984-85,Cotton,7380.00,1446.70,196.00,28.48,,1984,"Financial Year (Apr - Mar), 1984"
315,India,2020-21,Lentil (Masur),1450.00,1450.00,1001.00,,* 4th Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
316,India,2007-08,Sunflower,1910.00,1460.00,765.00,,,2007,"Financial Year (Apr - Mar), 2007"
317,India,2002-03,Cotton,7670.00,1465.40,191.00,33.17,,2002,"Financial Year (Apr - Mar), 2002"
318,India,1980-81,Jute and Mesta,1300.00,1468.80,1130.00,,,1980,"Financial Year (Apr - Mar), 1980"
319,India,1964-65,Rapeseed & Mustard,2910.00,1470.00,507.00,15.23,,1964,"Financial Year (Apr - Mar), 1964"
320,India,1957-58,Tur (Arhar),2360.00,1480.00,627.00,0.51,,1957,"Financial Year (Apr - Mar), 1957"
321,India,1961-62,Jute and Mesta,1340.00,1483.20,1104.00,,,1961,"Financial Year (Apr - Mar), 1961"
322,India,1985-86,Cotton,7530.00,1484.10,197.00,30.24,,1985,"Financial Year (Apr - Mar), 1985"
323,India,1988-89,Cotton,7340.00,1485.80,202.00,32.96,,1988,"Financial Year (Apr - Mar), 1988"
324,India,1989-90,Jute and Mesta,910.00,1492.20,1646.00,,,1989,"Financial Year (Apr - Mar), 1989"
325,India,1978-79,Jute and Mesta,1270.00,1499.40,1186.00,,,1978,"Financial Year (Apr - Mar), 1978"
326,India,1981-82,Jute and Mesta,1150.00,1506.60,1311.00,,,1981,"Financial Year (Apr - Mar), 1981"
327,India,2003-04,Guarseed,2854.00,1513.40,530.00,,,2003,"Financial Year (Apr - Mar), 2003"
328,India,1993-94,Jute and Mesta,890.00,1517.40,1713.00,,,1993,"Financial Year (Apr - Mar), 1993"
329,India,2019-20,Guarseed,3140.20,1519.30,484.00,,,2019,"Financial Year (Apr - Mar), 2019"
330,India,1992-93,Jute and Mesta,930.00,1546.20,1658.00,,,1992,"Financial Year (Apr - Mar), 1992"
331,India,1976-77,Rapeseed & Mustard,3130.00,1550.00,496.00,34.41,,1976,"Financial Year (Apr - Mar), 1976"
332,India,1988-89,Soybean,1730.00,1550.00,892.00,,,1988,"Financial Year (Apr - Mar), 1988"
333,India,1986-87,Jute and Mesta,1070.00,1551.60,1454.00,,,1986,"Financial Year (Apr - Mar), 1986"
334,India,1969-70,Rapeseed & Mustard,3170.00,1560.00,493.00,23.54,,1969,"Financial Year (Apr - Mar), 1969"
335,India,1967-68,Rapeseed & Mustard,3240.00,1570.00,483.00,14.83,,1967,"Financial Year (Apr - Mar), 1967"
336,India,1962-63,Tur (Arhar),2450.00,1580.00,645.00,0.41,,1962,"Financial Year (Apr - Mar), 1962"
337,India,1995-96,Jute and Mesta,930.00,1585.80,1712.00,,,1995,"Financial Year (Apr - Mar), 1995"
338,India,2000-01,Cotton,8530.00,1618.40,190.00,32.22,,2000,"Financial Year (Apr - Mar), 2000"
339,India,2017-18,Lentil (Masur),1550.00,1620.00,1047.00,,,2017,"Financial Year (Apr - Mar), 2017"
340,India,2017-18,Guarseed,3936.50,1624.30,413.00,,,2017,"Financial Year (Apr - Mar), 2017"
341,India,1994-95,Jute and Mesta,930.00,1634.40,1760.00,,,1994,"Financial Year (Apr - Mar), 1994"
342,India,1977-78,Rapeseed & Mustard,3580.00,1650.00,460.00,39.68,,1977,"Financial Year (Apr - Mar), 1977"
343,India,1991-92,Cotton,7660.00,1650.70,216.00,33.33,,1991,"Financial Year (Apr - Mar), 1991"
344,India,1950-51,Potato,240.00,1660.00,6917.00,,,1950,"Financial Year (Apr - Mar), 1950"
345,India,1990-91,Jute and Mesta,1020.00,1661.40,1634.00,,,1990,"Financial Year (Apr - Mar), 1990"
346,India,1990-91,Cotton,7440.00,1672.80,225.00,32.94,,1990,"Financial Year (Apr - Mar), 1990"
347,India,1971-72,Tur (Arhar),2350.00,1680.00,718.00,0.30,,1971,"Financial Year (Apr - Mar), 1971"
348,India,1952-53,Tur (Arhar),2400.00,1700.00,708.00,0.64,,1952,"Financial Year (Apr - Mar), 1952"
349,India,1958-59,Tur (Arhar),2470.00,1700.00,688.00,0.53,,1958,"Financial Year (Apr - Mar), 1958"
350,India,1959-60,Tur (Arhar),2430.00,1700.00,700.00,0.53,,1959,"Financial Year (Apr - Mar), 1959"
351,India,1973-74,Rapeseed & Mustard,3460.00,1700.00,493.00,30.38,,1973,"Financial Year (Apr - Mar), 1973"
352,India,2001-02,Cotton,9130.00,1700.00,186.00,33.82,,2001,"Financial Year (Apr - Mar), 2001"
353,India,1951-52,Potato,250.00,1710.00,6848.00,,,1951,"Financial Year (Apr - Mar), 1951"
354,India,1950-51,Tur (Arhar),2180.00,1720.00,789.00,0.49,,1950,"Financial Year (Apr - Mar), 1950"
355,India,1954-55,Tur (Arhar),2400.00,1720.00,717.00,0.53,,1954,"Financial Year (Apr - Mar), 1954"
356,India,1956-57,Potato,290.00,1720.00,6028.00,,,1956,"Financial Year (Apr - Mar), 1956"
357,India,2020-21,Jute and Mesta,660.00,1720.80,2595.00,,* 4th Advance Estimates,2020,"Financial Year (Apr - Mar), 2020"
358,India,1950-51,Maize,3160.00,1730.00,547.00,11.35,,1950,"Financial Year (Apr - Mar), 1950"
359,India,1965-66,Tur (Arhar),2560.00,1730.00,678.00,0.39,,1965,"Financial Year (Apr - Mar), 1965"
360,India,1976-77,Tur (Arhar),2570.00,1730.00,672.00,0.47,,1976,"Financial Year (Apr - Mar), 1976"
361,India,1967-68,Tur (Arhar),2670.00,1740.00,653.00,0.45,,1967,"Financial Year (Apr - Mar), 1967"
362,India,1954-55,Potato,270.00,1760.00,6632.00,,,1954,"Financial Year (Apr - Mar), 1954"
363,India,1979-80,Tur (Arhar),2730.00,1760.00,643.00,1.84,,1979,"Financial Year (Apr - Mar), 1979"
364,India,1998-99,Jute and Mesta,1030.00,1765.80,1722.00,,,1998,"Financial Year (Apr - Mar), 1998"
365,India,2018-19,Jute and Mesta,700.00,1767.60,2508.00,,,2018,"Financial Year (Apr - Mar), 2018"
366,India,2019-20,Jute and Mesta,670.00,1778.40,2641.00,,,2019,"Financial Year (Apr - Mar), 2019"
367,India,2007-08,Guarseed,3472.60,1788.50,515.00,,,2007,"Financial Year (Apr - Mar), 2007"
368,India,2017-18,Jute and Mesta,740.00,1805.40,2435.00,,,2017,"Financial Year (Apr - Mar), 2017"
369,India,1972-73,Rapeseed & Mustard,3320.00,1810.00,545.00,26.75,,1972,"Financial Year (Apr - Mar), 1972"
370,India,1989-90,Soybean,2250.00,1810.00,801.00,,,1989,"Financial Year (Apr - Mar), 1989"
371,India,1968-69,Tur (Arhar),2530.00,1820.00,718.00,0.54,,1968,"Financial Year (Apr - Mar), 1968"
372,India,1993-94,Cotton,7320.00,1825.80,249.00,34.69,,1993,"Financial Year (Apr - Mar), 1993"
373,India,1951-52,Tur (Arhar),2450.00,1830.00,747.00,0.52,,1951,"Financial Year (Apr - Mar), 1951"
374,India,1974-75,Tur (Arhar),2530.00,1830.00,725.00,0.47,,1974,"Financial Year (Apr - Mar), 1974"
375,India,1969-70,Tur (Arhar),2670.00,1840.00,690.00,0.34,,1969,"Financial Year (Apr - Mar), 1969"
376,India,1997-98,Cotton,8870.00,1844.50,208.00,37.10,,1997,"Financial Year (Apr - Mar), 1997"
377,India,2004-05,Jute and Mesta,920.00,1848.60,2019.00,,,2004,"Financial Year (Apr - Mar), 2004"
378,India,2016-17,Guarseed,4103.30,1849.50,451.00,,,2016,"Financial Year (Apr - Mar), 2016"
379,India,1997-98,Tur (Arhar),3360.00,1850.00,551.00,5.56,,1997,"Financial Year (Apr - Mar), 1997"
380,India,1991-92,Jute and Mesta,1110.00,1852.20,1662.00,,,1991,"Financial Year (Apr - Mar), 1991"
381,India,1953-54,Tur (Arhar),2400.00,1860.00,775.00,0.61,,1953,"Financial Year (Apr - Mar), 1953"
382,India,1955-56,Potato,280.00,1860.00,6639.00,,,1955,"Financial Year (Apr - Mar), 1955"
383,India,1955-56,Tur (Arhar),2290.00,1860.00,812.00,0.43,,1955,"Financial Year (Apr - Mar), 1955"
384,India,1978-79,Rapeseed & Mustard,3540.00,1860.00,525.00,39.69,,1978,"Financial Year (Apr - Mar), 1978"
385,India,2008-09,Jute and Mesta,900.00,1866.60,2071.00,,,2008,"Financial Year (Apr - Mar), 2008"
386,India,1970-71,Tur (Arhar),2660.00,1880.00,709.00,0.27,,1970,"Financial Year (Apr - Mar), 1970"
387,India,1964-65,Tur (Arhar),2580.00,1890.00,733.00,0.55,,1964,"Financial Year (Apr - Mar), 1964"
388,India,1978-79,Tur (Arhar),2640.00,1890.00,716.00,0.78,,1978,"Financial Year (Apr - Mar), 1978"
389,India,2015-16,Jute and Mesta,780.00,1893.60,2421.00,,,2015,"Financial Year (Apr - Mar), 2015"
390,India,1999-00,Jute and Mesta,1040.00,1899.00,1834.00,,,1999,"Financial Year (Apr - Mar), 1999"
391,India,2000-01,Jute and Mesta,1020.00,1900.80,1868.00,,,2000,"Financial Year (Apr - Mar), 2000"
392,India,2010-11,Jute and Mesta,870.00,1911.60,2197.00,,,2010,"Financial Year (Apr - Mar), 2010"
393,India,1972-73,Tur (Arhar),2420.00,1930.00,795.00,0.37,,1972,"Financial Year (Apr - Mar), 1972"
394,India,1977-78,Tur (Arhar),2630.00,1930.00,735.00,0.49,,1977,"Financial Year (Apr - Mar), 1977"
395,India,2008-09,Guarseed,3862.50,1935.80,501.00,,,2008,"Financial Year (Apr - Mar), 2008"
396,India,1992-93,Cotton,7540.00,1938.00,257.00,34.61,,1992,"Financial Year (Apr - Mar), 1992"
397,India,1975-76,Rapeseed & Mustard,3340.00,1940.00,580.00,31.25,,1975,"Financial Year (Apr - Mar), 1975"
398,India,1989-90,Cotton,7690.00,1941.40,252.00,34.21,,1989,"Financial Year (Apr - Mar), 1989"
399,India,2005-06,Jute and Mesta,900.00,1951.20,2173.00,,,2005,"Financial Year (Apr - Mar), 2005"
400,India,1953-54,Potato,260.00,1960.00,7611.00,,,1953,"Financial Year (Apr - Mar), 1953"
401,India,1980-81,Tur (Arhar),2840.00,1960.00,689.00,2.57,,1980,"Financial Year (Apr - Mar), 1980"
402,India,1999-00,Cotton,8710.00,1960.10,225.00,33.03,,1999,"Financial Year (Apr - Mar), 1999"
403,India,2010-11,Guarseed,3382.20,1965.30,581.00,,,2010,"Financial Year (Apr - Mar), 2010"
404,India,2012-13,Jute and Mesta,860.00,1967.40,2281.00,,,2012,"Financial Year (Apr - Mar), 2012"
405,India,2016-17,Jute and Mesta,760.00,1972.80,2585.00,,,2016,"Financial Year (Apr - Mar), 2016"
406,India,1970-71,Rapeseed & Mustard,3320.00,1980.00,594.00,25.16,,1970,"Financial Year (Apr - Mar), 1970"
407,India,1997-98,Jute and Mesta,1110.00,1983.60,1792.00,,,1997,"Financial Year (Apr - Mar), 1997"
408,India,1952-53,Potato,260.00,1990.00,7812.00,,,1952,"Financial Year (Apr - Mar), 1952"
409,India,1956-57,Tur (Arhar),2290.00,1990.00,869.00,0.34,,1956,"Financial Year (Apr - Mar), 1956"
410,India,1982-83,Tur (Arhar),2930.00,1990.00,680.00,2.37,,1982,"Financial Year (Apr - Mar), 1982"
411,India,1957-58,Potato,320.00,2000.00,6243.00,,,1957,"Financial Year (Apr - Mar), 1957"
412,India,1996-97,Jute and Mesta,1100.00,2003.40,1819.00,,,1996,"Financial Year (Apr - Mar), 1996"
413,India,2014-15,Jute and Mesta,810.00,2003.40,2473.00,,,2014,"Financial Year (Apr - Mar), 2014"
414,India,2003-04,Jute and Mesta,1000.00,2010.60,2008.00,,,2003,"Financial Year (Apr - Mar), 2003"
415,India,2007-08,Jute and Mesta,960.00,2017.80,2101.00,,,2007,"Financial Year (Apr - Mar), 2007"
416,India,1994-95,Cotton,7870.00,2021.30,257.00,34.18,,1994,"Financial Year (Apr - Mar), 1994"
417,India,2006-07,Jute and Mesta,940.00,2028.60,2170.00,,,2006,"Financial Year (Apr - Mar), 2006"
418,India,2002-03,Jute and Mesta,1040.00,2030.40,1960.00,,,2002,"Financial Year (Apr - Mar), 2002"
419,India,2011-12,Jute and Mesta,900.00,2052.00,2280.00,,,2011,"Financial Year (Apr - Mar), 2011"
420,India,1960-61,Tur (Arhar),2430.00,2070.00,852.00,0.49,,1960,"Financial Year (Apr - Mar), 1960"
421,India,1951-52,Maize,3310.00,2080.00,628.00,16.42,,1951,"Financial Year (Apr - Mar), 1951"
422,India,1998-99,Cotton,9340.00,2089.30,224.00,34.06,,1998,"Financial Year (Apr - Mar), 1998"
423,India,1975-76,Tur (Arhar),2670.00,2100.00,786.00,0.44,,1975,"Financial Year (Apr - Mar), 1975"
424,India,2001-02,Jute and Mesta,1050.00,2102.40,2007.00,,,2001,"Financial Year (Apr - Mar), 2001"
425,India,2013-14,Jute and Mesta,840.00,2102.40,2512.00,,,2013,"Financial Year (Apr - Mar), 2013"
426,India,2009-10,Jute and Mesta,910.00,2127.60,2349.00,,,2009,"Financial Year (Apr - Mar), 2009"
427,India,1991-92,Tur (Arhar),3630.00,2130.00,588.00,5.17,,1991,"Financial Year (Apr - Mar), 1991"
428,India,1994-95,Tur (Arhar),3310.00,2140.00,644.00,5.51,,1994,"Financial Year (Apr - Mar), 1994"
429,India,1995-96,Cotton,9040.00,2186.20,242.00,34.97,,1995,"Financial Year (Apr - Mar), 1995"
430,India,2002-03,Tur (Arhar),3360.00,2190.00,651.00,4.80,,2002,"Financial Year (Apr - Mar), 2002"
431,India,1978-79,Onion,210.00,2200.00,10403.00,,,1978,"Financial Year (Apr - Mar), 1978"
432,India,1982-83,Rapeseed & Mustard,3830.00,2210.00,577.00,43.90,,1982,"Financial Year (Apr - Mar), 1982"
433,India,2011-12,Guarseed,3444.20,2217.60,644.00,,,2011,"Financial Year (Apr - Mar), 2011"
434,India,1981-82,Tur (Arhar),3000.00,2240.00,745.00,2.07,,1981,"Financial Year (Apr - Mar), 1981"
435,India,1974-75,Rapeseed & Mustard,3680.00,2250.00,612.00,35.37,,1974,"Financial Year (Apr - Mar), 1974"
436,India,2000-01,Tur (Arhar),3630.00,2250.00,618.00,4.35,,2000,"Financial Year (Apr - Mar), 2000"
437,India,2001-02,Tur (Arhar),3330.00,2260.00,679.00,4.86,,2001,"Financial Year (Apr - Mar), 2001"
438,India,1986-87,Tur (Arhar),3150.00,2270.00,722.00,4.24,,1986,"Financial Year (Apr - Mar), 1986"
439,India,2008-09,Tur (Arhar),3380.00,2270.00,671.00,4.65,,2008,"Financial Year (Apr - Mar), 2008"
440,India,1985-86,Jute and Mesta,1500.00,2277.00,1524.00,,,1985,"Financial Year (Apr - Mar), 1985"
441,India,1987-88,Tur (Arhar),3330.00,2280.00,685.00,4.90,,1987,"Financial Year (Apr - Mar), 1987"
442,India,1980-81,Rapeseed & Mustard,4110.00,2300.00,560.00,43.65,,1980,"Financial Year (Apr - Mar), 1980"
443,India,1995-96,Tur (Arhar),3450.00,2310.00,670.00,5.24,,1995,"Financial Year (Apr - Mar), 1995"
444,India,2006-07,Tur (Arhar),3560.00,2310.00,650.00,4.56,,2006,"Financial Year (Apr - Mar), 2006"
445,India,1992-93,Tur (Arhar),3580.00,2330.00,652.00,4.89,,1992,"Financial Year (Apr - Mar), 1992"
446,India,2003-04,Cotton,7600.00,2334.10,307.00,32.30,,2003,"Financial Year (Apr - Mar), 2003"
447,India,1951-52,Bajra,9520.00,2350.00,246.00,3.82,,1951,"Financial Year (Apr - Mar), 1951"
448,India,1958-59,Potato,340.00,2350.00,6947.00,,,1958,"Financial Year (Apr - Mar), 1958"
449,India,2004-05,Tur (Arhar),3520.00,2350.00,667.00,4.47,,2004,"Financial Year (Apr - Mar), 2004"
450,India,2003-04,Tur (Arhar),3520.00,2360.00,670.00,4.39,,2003,"Financial Year (Apr - Mar), 2003"
451,India,1981-82,Rapeseed & Mustard,4400.00,2380.00,541.00,44.88,,1981,"Financial Year (Apr - Mar), 1981"
452,India,1990-91,Tur (Arhar),3590.00,2410.00,673.00,5.50,,1990,"Financial Year (Apr - Mar), 1990"
453,India,1996-97,Cotton,9120.00,2419.10,265.00,35.99,,1996,"Financial Year (Apr - Mar), 1996"
454,India,1982-83,Onion,240.00,2430.00,10330.00,,,1982,"Financial Year (Apr - Mar), 1982"
455,India,1985-86,Tur (Arhar),3180.00,2440.00,767.00,4.25,,1985,"Financial Year (Apr - Mar), 1985"
456,India,1961-62,Potato,370.00,2450.00,6704.00,,,1961,"Financial Year (Apr - Mar), 1961"
457,India,2012-13,Guarseed,5151.30,2457.60,477.00,,,2012,"Financial Year (Apr - Mar), 2012"
458,India,2009-10,Tur (Arhar),3470.00,2460.00,711.00,4.53,,2009,"Financial Year (Apr - Mar), 2009"
459,India,1991-92,Soybean,3180.00,2490.00,782.00,,,1991,"Financial Year (Apr - Mar), 1991"
460,India,1979-80,Onion,240.00,2500.00,10232.00,,,1979,"Financial Year (Apr - Mar), 1979"
461,India,1980-81,Onion,250.00,2500.00,9961.00,,,1980,"Financial Year (Apr - Mar), 1980"
462,India,1986-87,Onion,260.00,2530.00,9659.00,,,1986,"Financial Year (Apr - Mar), 1986"
463,India,2015-16,Tur (Arhar),3960.00,2560.00,646.00,3.84,,2015,"Financial Year (Apr - Mar), 2015"
464,India,1983-84,Tur (Arhar),3220.00,2580.00,801.00,3.03,,1983,"Financial Year (Apr - Mar), 1983"
465,India,1984-85,Tur (Arhar),3160.00,2580.00,819.00,3.93,,1984,"Financial Year (Apr - Mar), 1984"
466,India,1963-64,Potato,420.00,2590.00,6249.00,,,1963,"Financial Year (Apr - Mar), 1963"
467,India,1950-51,Bajra,9020.00,2600.00,288.00,3.45,,1950,"Financial Year (Apr - Mar), 1950"
468,India,1955-56,Maize,3700.00,2600.00,703.00,11.76,,1955,"Financial Year (Apr - Mar), 1955"
469,India,1986-87,Rapeseed & Mustard,3720.00,2600.00,700.00,51.77,,1986,"Financial Year (Apr - Mar), 1986"
470,India,1990-91,Soybean,2560.00,2600.00,1015.00,,,1990,"Financial Year (Apr - Mar), 1990"
471,India,1983-84,Rapeseed & Mustard,3870.00,2610.00,673.00,46.58,,1983,"Financial Year (Apr - Mar), 1983"
472,India,1981-82,Onion,250.00,2650.00,10562.00,,,1981,"Financial Year (Apr - Mar), 1981"
473,India,2011-12,Tur (Arhar),4010.00,2650.00,661.00,3.79,,2011,"Financial Year (Apr - Mar), 2011"
474,India,1996-97,Tur (Arhar),3510.00,2660.00,756.00,5.67,,1996,"Financial Year (Apr - Mar), 1996"
475,India,1985-86,Rapeseed & Mustard,3980.00,2680.00,674.00,51.30,,1985,"Financial Year (Apr - Mar), 1985"
476,India,1993-94,Tur (Arhar),3530.00,2690.00,762.00,5.07,,1993,"Financial Year (Apr - Mar), 1993"
477,India,1999-00,Tur (Arhar),3430.00,2690.00,786.00,4.29,,1999,"Financial Year (Apr - Mar), 1999"
478,India,1983-84,Onion,270.00,2700.00,9982.00,,,1983,"Financial Year (Apr - Mar), 1983"
479,India,1987-88,Onion,270.00,2700.00,9857.00,,,1987,"Financial Year (Apr - Mar), 1987"
480,India,1998-99,Tur (Arhar),3440.00,2710.00,787.00,4.31,,1998,"Financial Year (Apr - Mar), 1998"
481,India,1960-61,Potato,380.00,2720.00,7251.00,,,1960,"Financial Year (Apr - Mar), 1960"
482,India,1988-89,Tur (Arhar),3490.00,2720.00,779.00,4.72,,1988,"Financial Year (Apr - Mar), 1988"
483,India,1959-60,Potato,360.00,2730.00,7550.00,,,1959,"Financial Year (Apr - Mar), 1959"
484,India,2005-06,Tur (Arhar),3580.00,2740.00,765.00,3.95,,2005,"Financial Year (Apr - Mar), 2005"
485,India,1989-90,Tur (Arhar),3600.00,2750.00,763.00,5.06,,1989,"Financial Year (Apr - Mar), 1989"
486,India,2004-05,Cotton,8790.00,2793.10,318.00,34.81,,2004,"Financial Year (Apr - Mar), 2004"
487,India,2014-15,Tur (Arhar),3850.00,2810.00,729.00,4.01,,2014,"Financial Year (Apr - Mar), 2014"
488,India,2015-16,Guarseed,5603.40,2824.40,504.00,,,2015,"Financial Year (Apr - Mar), 2015"
489,India,1985-86,Onion,280.00,2860.00,10202.00,,,1985,"Financial Year (Apr - Mar), 1985"
490,India,2010-11,Tur (Arhar),4370.00,2860.00,654.00,4.02,,2010,"Financial Year (Apr - Mar), 2010"
491,India,1952-53,Maize,3610.00,2870.00,795.00,14.03,,1952,"Financial Year (Apr - Mar), 1952"
492,India,1956-57,Bajra,11250.00,2870.00,255.00,3.06,,1956,"Financial Year (Apr - Mar), 1956"
493,India,1952-53,Groundnut,4800.00,2930.00,611.00,1.23,,1952,"Financial Year (Apr - Mar), 1952"
494,India,1954-55,Maize,3750.00,2980.00,795.00,14.59,,1954,"Financial Year (Apr - Mar), 1954"
